id,text,aspect,polarity
3121,but the staff was so horrible to us .,service,negative
2777,"to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",food,positive
2777,"to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",anecdotes/miscellaneous,negative
1634,"the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",food,positive
2534,where gabriela personal greets you and recommends you what to eat .,service,positive
583,"for those that go once and do n't enjoy it , all i can say is that they just do n't get it .",anecdotes/miscellaneous,positive
2846,"not only was the food outstanding , but the little perks ' were great .",food,positive
2846,"not only was the food outstanding , but the little perks ' were great .",service,positive
1571,it is very overpriced and not very tasty .,food,negative
1571,it is very overpriced and not very tasty .,price,negative
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,food,positive
1458,our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,service,positive
3161,"the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",food,positive
2391,nevertheless the food itself is pretty good .,food,positive
296,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",food,negative
2200,the design and atmosphere is just as good .,ambience,positive
3195,he has visited thailand and is quite expert on the cuisine .,food,positive
3119,i would definitely recommend mary 's and am making it one of my regular neighborhood haunts .,anecdotes/miscellaneous,positive
3359,the pizza is the best if you like thin crusted pizza .,food,positive
70,my girlfriend and i stumbled onto this hopping place the other night and had a great time !,anecdotes/miscellaneous,positive
1829,"he ca n't help , they 're bought up so fast .",anecdotes/miscellaneous,neutral
2935,"secondly , on this night the place was overwhelmed by upper east side ladies perfume .",ambience,negative
1805,"i have eaten here a handful of times , for no reason besides sheer convenience .",anecdotes/miscellaneous,neutral
2559,obviously run by folks who know a pie .,service,positive
716,we were very disappointed .,anecdotes/miscellaneous,negative
2464,it is definitely special and affordable .,anecdotes/miscellaneous,positive
2464,it is definitely special and affordable .,price,positive
385,i really liked this place .,anecdotes/miscellaneous,positive
1350,i will be going back very soon .,anecdotes/miscellaneous,positive
3534,"all the money went into the interior decoration , none of it went to the chefs .",ambience,positive
3534,"all the money went into the interior decoration , none of it went to the chefs .",food,negative
1407,the seats are uncomfortable if you are sitting against the wall on wooden benches .,ambience,negative
565,"i asked for seltzer with lime , no ice .",food,neutral
387,it was pretty inexpensive too .,price,positive
1314,will not be back .,anecdotes/miscellaneous,negative
675,"do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",food,positive
2227,my suggestion is to eat family style because you 'll want to try the other dishes .,food,neutral
3367,"best of all is the warm vibe , the owner is super friendly and service is fast .",service,positive
3367,"best of all is the warm vibe , the owner is super friendly and service is fast .",ambience,positive
1210,this is n't a value joint .,price,negative
2191,faan 's got a great concept but a little rough on the delivery .,anecdotes/miscellaneous,positive
2191,faan 's got a great concept but a little rough on the delivery .,service,negative
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",food,positive
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",service,positive
270,"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",ambience,positive
638,"great food at reasonable prices , makes for an evening that ca n't be beat !",food,positive
638,"great food at reasonable prices , makes for an evening that ca n't be beat !",price,positive
500,look foward to trying the ruben upon returning .,anecdotes/miscellaneous,positive
1108,the only other steakhouse that seems to hold a candle to roth 's is the strip house .,anecdotes/miscellaneous,neutral
3294,we usually go to the chart house to celebrate a birthday or anniversary .,anecdotes/miscellaneous,neutral
388,this little place has a cute interior decor and affordable city prices .,ambience,positive
388,this little place has a cute interior decor and affordable city prices .,price,positive
3070,you 'll adore it .,anecdotes/miscellaneous,positive
3373,two words : free wine .,price,positive
425,the price is reasonable although the service is poor .,service,negative
425,the price is reasonable although the service is poor .,price,positive
3192,"the quantity is also very good , you will come out satisfied .",food,positive
1098,i have been to roth 's twice and both times were very disappointing .,anecdotes/miscellaneous,negative
2173,worth visiting the 1st ave spot because it is the original store .,anecdotes/miscellaneous,positive
391,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action .",anecdotes/miscellaneous,neutral
263,"raga 's is a romantic , cozy restaurant .",ambience,positive
2384,the fried rice is amazing here .,food,positive
2962,"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",food,positive
3404,it 's a perfect place to have a amazing indian food .,food,positive
2599,the place is so cool and the service is prompt and curious .,service,positive
2599,the place is so cool and the service is prompt and curious .,ambience,positive
673,at the end you 're left with a mild broth with noodles that you can slurp out of a cup .,food,positive
648,i just wonder how you can have such a delicious meal for such little money .,price,positive
648,i just wonder how you can have such a delicious meal for such little money .,food,positive
1623,the wine list is excellent .,food,positive
2177,so gargantuan that you ca n't fit them in a toaster .,food,positive
430,"ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) .",food,positive
1101,they wouldnt even let me finish my glass of wine before offering another .,service,positive
1823,i highly recommend the sophia pizza .,anecdotes/miscellaneous,positive
324,"when asked , we had to ask more detailed questions so that we knew what the specials were .",service,negative
2783,this is a consistently great place to dine for lunch or dinner .,anecdotes/miscellaneous,positive
2983,"nice atmosphere , the service was very pleasant and the desert was good .",food,positive
2983,"nice atmosphere , the service was very pleasant and the desert was good .",service,positive
