id,text,aspect,polarity
3200,unbelievable .,anecdotes/miscellaneous,positive
61,"this is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after theater drinks !",ambience,positive
1865,"we ate here in march , 2006 and ordered the pre-theatre 3-course dinner with wine flight .",food,neutral
1273,i love the fact that the pizza tastes so good and is so cheap .,price,positive
2421,"for all of you new to indian food , try the paneer roll , it is a piece of heaven .",food,positive
1789,"in any event , this is a place i 'll be sure to stop by again when i 'm in this part of town .",anecdotes/miscellaneous,positive
2574,ingredients are organic which is a real plus for me .,food,positive
3543,"food is average , and i would say even the chain restaurant Baluchistan 's tastes better .",food,negative
942,the prices are wonderfully low .,price,positive
2616,i have never had cheescake like this .,food,positive
1803,my sister says it reminds her of a restaurant run by high-school students who do n't know what they are doing .,anecdotes/miscellaneous,negative
727,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",food,positive
1952,the service was excellent and the food was delicious .,service,positive
1299,"i am indian , and i have tried many indian places in ny .",anecdotes/miscellaneous,neutral
1548,"the food is terrible and overall , i would have to say avoid at all costs .",food,negative
616,i highly recommend it .,anecdotes/miscellaneous,positive
2438,i actually feel like i should keep it a secret .,anecdotes/miscellaneous,neutral
1117,"to finish off such a delightful dinner experience you must have dessert , especially the white chocolate bread pudding with gelato and hot chocolate .",food,positive
903,"when i arrived at orsay i was thrown back , in a veyr good sense .",anecdotes/miscellaneous,positive
3525,the staff is very attentive and we can almost always get a table .,service,positive
3451,"overall , a solid restaurant and at less than $ 40pp ( including wine ) , a solid deal as well .",anecdotes/miscellaneous,positive
2641,this quiet dark asian bistro is well worth the trip .,anecdotes/miscellaneous,positive
3496,pizza was a little soggy .,food,negative
3380,"while the prices are nothing special , the portions are huge .",food,positive
3480,get it together .,anecdotes/miscellaneous,negative
3253,"good to find a restaurant where the owners have some imagination and they have actually pulled it off , like in this case .",anecdotes/miscellaneous,positive
1567,the place is a lot of fun .,anecdotes/miscellaneous,positive
3670,"first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...",service,negative
834,a bit breezy up there on the mezzanine from the wind coming from the tracks .,anecdotes/miscellaneous,neutral
2161,the lox is always fresh too .,food,positive
3103,"ask for usha , the nicest bartender in manhattan .",service,positive
2171,the food options rule .,food,positive
2667,"the halibut was too salty , dessert was so so ( do n't waste any of your calories ) and service was poor .",food,negative
1624,the only thing more wonderful than the food ( which is exceptional ) is the service .,food,positive
3519,the prices and ambience are especially great considering it 's in the west village .,price,positive
981,"nha trang , while being notorious for utter lack of comfort and decor , horribly slow wait staff and horribly quick meals , is one of the best vietnamese restaurants i 've ever been to . the pho is delicious and comes with very fresh vegtables .",food,positive
2348,"we made early dinner reservations and were thoroughly impressed , reminds me of my grandfather , its old school italian scenery with lots of fun stuff to admire .",ambience,positive
1710,"our waiter was fine , the place looks nice in that not trying too hard way , but at those prices , a little more should be expected of your food .",service,positive
3494,went to ottimo and was expecting outstanding pizza ( as i love la pizza fresca ) .,anecdotes/miscellaneous,neutral
795,i was wrong .,anecdotes/miscellaneous,negative
1054,"but they do n't have a toaster , which is strange .",service,negative
2832,"the food is wonderful , tasty and filling , and the service is professional and friendly .",service,positive
593,"been there , done that , and new york , it 's not that big a deal .",anecdotes/miscellaneous,neutral
1003,wonderful strawberry daiquiris as well !,food,positive
