id,text,aspect,polarity
340,the rice was poor quality and was cooked so badly it was hard .,food,negative
2984,would n't recommend it for dinner !,anecdotes/miscellaneous,negative
2788,buon appetite !,anecdotes/miscellaneous,positive
1619,"they brought glasses and the bottle , and just left the bottle at our table .",service,negative
2935,"secondly , on this night the place was overwhelmed by upper east side ladies perfume .",ambience,negative
938,"i found the food , service and value exceptional everytime i have been there .",price,positive
109,"i have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgin olive oil .",food,positive
2205,the food is usually good but it certainly is n't a relaxing place to go .,ambience,negative
2015,my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience .,anecdotes/miscellaneous,positive
550,"we have been to this place many times , and always have great food , wine , and service .",food,positive
922,but the service was a bit slow .,service,negative
2333,dakshin is one of the few affordable and tasty indian restaurant in the upper east side .,food,positive
3030,( i 've ordered from the 2nd ave .,anecdotes/miscellaneous,neutral
2525,"unless you are eating in the pizzeria side of this place , and are not in a rush , this place is a bad idea .",anecdotes/miscellaneous,negative
2854,scaling fedeli reminded me why service is so integral to fine dining .,service,positive
882,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",food,negative
3126,save yourself the time and trouble and skip this one !,anecdotes/miscellaneous,negative
512,"took my mom for mother 's day , and the maitre d ' was pretty rude .",anecdotes/miscellaneous,negative
550,"we have been to this place many times , and always have great food , wine , and service .",service,positive
1689,"i would n't even have complained at all if the food at least tasted good but the quality of food was crappy , too .",food,negative
2994,"kind , attentive wait staff .",service,positive
1743,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzeria 's .",food,positive
1855,my husband and i enjoy sangria .,food,positive
1826,"sure , everyone 's got their favorite , but to know sal , is to know new york .",anecdotes/miscellaneous,neutral
2332,great food and the prices are very reasonable .,food,positive
3546,i have tried literally every restaurant on curry row .,anecdotes/miscellaneous,neutral
973,"ambiance and music funky , which i enjoy .",ambience,positive
490,if you are in search of the most authentic nyc deli experience look no further than the famous and historic katz 's deli down on the lower east side .,anecdotes/miscellaneous,positive
574,moderate prices .,price,neutral
71,the pizza and wine were excellent the service too -- but what really made this place was the backyard dining area .,food,positive
1916,"it 's charmingly small and that leads to an atmosphere that is extremely cozy and romantic , even .",ambience,positive
1885,the food was very well prepared .,food,positive
209,great romantic place for a date ( try to get the corner booth table for a little privacy and to sit close ! ) .,ambience,positive
1188,"the food is great , service is ok .",food,positive
964,"the wait staff is very friendly , if not overly efficient .",service,positive
2973,"the food was amazing , and the service was prompt and helpful , but not over bearing or rushed .",food,positive
3061,you could get a much better dining experience for the same amount of money in a lot of other french bistros .,anecdotes/miscellaneous,negative
653,"if you venture off the island of manhattan and ca n't seem to find a great italian restaurant , drive to corona .",anecdotes/miscellaneous,neutral
1086,you can even get packages of the chutneys to stock your fridge !,food,positive
1947,"the staff is accomodating , the ambiance is exciting and yet relaxed , and the food is out of this world !",ambience,positive
1304,"we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off .",food,neutral
3505,"when he 's not making authentic neapolitan pizza in the open brick oven or lightly frying zucchini blossoms , he 's visiting the regulars ( a growing legion ) and checking on newcomers .",service,positive
3566,this is where the aforementioned line was .,anecdotes/miscellaneous,neutral
3660,this lovely french asian fusion restaurant stands out amongst other great restaurants on smith street .,anecdotes/miscellaneous,positive
901,the photos of the restaurant in its web site are way better than the real look .,ambience,negative
729,"the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down .",price,positive
2438,i actually feel like i should keep it a secret .,anecdotes/miscellaneous,neutral
3244,"so i 've never actually been to m proper , but i 've had it delivered a few times .",anecdotes/miscellaneous,neutral
2409,and i would have to agree with the masses in terms of service - delivery is their achilles ' heel .,service,negative
1159,"after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny .",ambience,positive
388,this little place has a cute interior decor and affordable city prices .,ambience,positive
